name,logo,knowledge
PEGA PRPC,http://www.quenta.es/img/logos/pega-logo.png,100
AWS,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/AmazonWebservices_Logo.svg/2000px-AmazonWebservices_Logo.svg.png,90
Ruby on rails,https://www.logolynx.com/images/logolynx/eb/eba41f31daaf3551a3691797d92a9df1.png,80
D3 ,https://raw.githubusercontent.com/d3/d3-logo/master/d3.png,90
HTML ,https://www.w3.org/html/logo/downloads/HTML5_Logo_512.png,100
CSS,https://www.optimum7.com/wp-content/uploads/2013/04/CSS3.png,80
Javascript,https://i.blogs.es/544e7d/650_1000_javascript_logo/450_1000.png,90
Autocad,http://pluspng.com/img-png/logo-autocad-png-autocad-architecture-designsoftware-fur-architekten-autocad-vector-png-600.png,100
Heroku,https://redislabs.com/wp-content/uploads/2016/11/logo-square-heroku.png,80
DB2,https://luminfire.com/wp-content/uploads/2017/12/IBM_DB2_Logo_200x200.png,80
postgresql,https://www.vectorlogo.zone/logos/postgresql/postgresql-card.png,80
Linux,https://vignette.wikia.nocookie.net/logopedia/images/0/04/Linux_logo.png/revision/latest?cb=20120814052336,80
Python ,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Python_logo_and_wordmark.svg/2000px-Python_logo_and_wordmark.svg.png,65
GIT,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Git-logo.svg/2000px-Git-logo.svg.png,90
Atom,https://cdn.freebiesupply.com/logos/large/2x/atom-4-logo-png-transparent.png,100
